publish_date,headline_text,is_kashmir,is_pakistan
20010713,Pak doesn't click with Indian IT training cos,False,True
20010713,Inclusion of Sikh shrines in Indo-Pak talks sought,False,True
20010713,Govt's stand on Kashmir condemned,True,False
20010713,23 killed in Jammu and Kashmir,True,False
20010713,Indo-Pak ties conducive for S Asia peace: China,False,True
20010713,Delaying solution to Kashmir will be very dangerous: Musharraf,True,False
20010713,Pak doesn't click with Indian IT training cos,False,True
20010714,For Imran; Kashmir is not an also-ran,True,False
20010714,3 ultras; Army jawan among six killed in Kashmir,True,False
20010715,Militancy reduces poverty in Kashmir,True,False
20010715,General alert on Indo-Pak border,False,True
20010715,Panun Kashmir apprehensive about Vajpayee-Musharraf talks,True,False
20010715,Indo-Pak flags flutter at Kalighat temple,False,True
20010715,Online school teaches Indo-Pak peace,False,True
20010715,Pak students visit Loreto; SEWA,False,True
20010715,India; Pakistan do some plainspeaking,False,True
20010715,10 injured in grenade blast in Kashmir,True,False
20010715,10 ultras among 15 killed in Kashmir,True,False
20010715,Day 1: India; Pak draw LoC on rhetoric,True,True
20010715,For Kashmiri women; it's been double jeopardy,True,False
20010715,India suggests extradition treaty with Pak,False,True
20010715,Kashmiris not optimistic about Agra summit,True,False
20010715,Hurriyat gets only tea and sympathy,True,False
20010715,Pak chief justice sworn in as acting president,False,True
20010715,US looks for Pak flexibility on Kashmir,True,True
20010716,NRI industrialists optimistic about Indo-Pak summit,False,True
20010716,NRI industrialists optimistic about Indo-Pak summit,False,True
20010716,PM urged to take up issue of gurdwaras in Pak,False,True
20010716,'Let trade and commerce flow; Kashmir can wait',True,False
20010716,Pakistani flag burnt,False,True
20010716,For Kashmir; survival is the bottomline,True,False
20010716,This is Pakistan's last chance,False,True
20010716,For UK Kashmiris; there is no freedom from fear,True,False
20010716,Online school teaches Indo-Pak peace,False,True
20010716,20 militants killed in Kashmir,True,False
20010716,Pak media hopeful of normalising of ties,False,True
20010716,'No progress unless Kashmir issue is resolved',True,False
20010716,Punjab has many pending issues with Pakistan,False,True
20010716,Options on Kashmir limited but progress possible,True,False
20010716,US report on 'trafficking' unsubstantiated: Pak,False,True
20010717,2 Pak nationals held; BSF mum,False,True
20010717,Top Al-Bader militant killed in Kashmir,True,False
20010717,'Pak didn't agree to pre-summit agenda',False,True
20010717,Pak scribes heckle MEA spokesperson,False,True
20010717,Give up rigid stand on Kashmir: RSS tells Pak,True,True
20010717,Pak pulls off a media coup,False,True
20010717,41 killed in Kashmir violence,True,False
20010717,BJP; Cong blame Pak for breakdown,False,True
20010717,Dawood leaves Pak to avoid embarrassing Musharraf,False,True
20010717,Kashmir not the sole issue: Jaswant,True,False
20010717,Militants killed 9;600 civilians in J&K since 1989,True,False
20010717,Vajpayee is no pushover on Kashmir,True,False
20010717,Pak hopeful of Hurriyat leaders' Islamabad visit,True,True
20010717,Pakistan media sees a spoiler in India,False,True
20010717,UN offers no comments on Indo-Pak summit,False,True
20010717,Only an elected Govt can negotiate:Pak parties,False,True
20010718,'India; Pakistan have moved an inch closer',False,True
20010718,J&K told to specify number of pilgrims allowed,True,False
20010718,Forces on full alert in J&K,True,False
20010718,US for sustained Indo; Pak partnership,False,True
20010719,'Entire country will oppose PM's Pak visit',False,True
20010719,Govt will not alter stance on Kashmir,True,False
20010719,'No Indian PoWs in Pakistani jails',False,True
20010720,20 ultras among 26 killed in J&K,True,False
20010720,Pak troops resort to shelling in Kargil,False,True
20010720,Deal firmly with Pak; Jammu groups tell govt,False,True
20010720,Govt to make efforts for peaceful ties with Pak,False,True
20010720,Musharraf unveils Pak's MBT,False,True
20010721,Pining for Kashmir,True,False
20010721,Main Accused linked with Kashmiri terrorist outfits,True,False
20010721,Parallel to Hurriyat floated,True,False
20010721,Govt 'silence' on Pak media blitz flayed,False,True
20010721,Pak troops continue firing in Kargil,False,True
20010722,Should India disinvest Kashmir?,True,False
20010722,Militants strike again in J&K; 15 killed,True,False
20010722,J&K minister's house attacked,True,False
20010722,Destroy ultra training camps in Pak: VHP,False,True
20010722,Hurriyat links attack on Amarnath yatris with Kashmir issue,True,False
20010722,PM blames Pakistan for talks' fiasco,False,True
20010722,Pak troops intensify firing along LoC,True,True
20010723,'India yet to receive formal invitation from Pak',False,True
20010723,Hurriyat sings Musharraf's tune,True,False
20010723,Some NGOs helping pro-Pak elements; say security forces,False,True
20010723,Two killed; 21 injured in Kashmir blasts,True,False
20010723,2 Pak soldiers killed in border firing,False,True
20010724,One stabbed during anti-Pak demonstration,False,True
20010724,One stabbed during anti-Pak demonstration,False,True
20010724,Govt to conduct inquiry into hoisting of Pak flags,False,True
20010724,Militants kill four kidnapped J&K villagers,True,False
20010724,Heavy exchange of fire along LoC,True,False
20010724,Three ultras among four killed in J&K,True,False
20010724,'757 militants killed this year in Kashmir',True,False
20010724,India rejects resolution on J&K adopted by OIC,True,False
20010724,VDC to counter militancy in Kashmir,True,False
20010724,Modi wants referendum on Pak,False,True
20010725,Pak Rotary Club money for Kolar project,False,True
20010725,Pro-active policy to be pursued in J&K: Swami,True,False
20010725,Foreign militant killed; 3 held in J&K,True,False
20010725,PoK only issue to be solved through talks: Abdullah,True,True
20010725,Advani rejects J&K autonomy resolution,True,False
20010726,Militants attack army camp in Kashmir,True,False
20010726,Mild reaction to Bush word on Kashmir,True,False
20010726,Malik's return could spell trouble for Hurriyat,True,False
20010726,Infiltration bids foiled; 11 killed in Kashmir,True,False
20010726,'Speedy release of funds for J&K necessary',True,False
20010726,India to go ahead with CBMs; awaits Pak response,False,True
20010726,US not to involve itself in Indo-Pak talks,False,True
20010726,Musharraf didn't harp on Kashmir: Pak,True,True
20010727,Vajpayee; Jaswant get formal invitation from Pakistan,False,True
20010727,Gujral for structured Indo-Pak dialogue,False,True
20010727,Indo-Pak summit likely to figure in Powell-Tang talks,False,True
20010727,Kashmir should not be terrorist haven: Bush,True,False
20010727,'Pak almost got terrorist label',False,True
20010728,IN BLACK AND WHITEbrShould Kashmir be handled the Punjab way,True,False
20010728,IN BLACK AND WHITEbrShould Kashmir be handled the Punjab way,True,False
20010728,Six militants; jawan killed in Kashmir,True,False
20010728,3 SPOs held in Kashmir,True,False
20010728,Woman injured in Pak firing in Jammu,False,True
20010728,'India; Pak had agreed on Kashmir status quo',True,True
20010728,China's arms supply to Pakistan irks US,False,True
20010729,No mobiles in J&K in near future: Paswan,True,False
20010729,BSF guns down 5 Pakistani intruders,False,True
20010729,Four militants killed; two injured in Kashmir,True,False
20010729,'Pak cold to CBMs for fear of exposure',False,True
20010729,High profile murders rock Pakistan,False,True
